item_id,ico,iGrade,iName,itemLv,itemWearLv,iCategory,available_for,attributes,blue_info,red_info,white_info,gold_coin,silver_coin,bronze_coin,type,level,wearable_job,wearable_race,maximum_usage_count,possible_number,action_bar_text,acquisition_path
"840104","210043","5","폭풍의 예리한 목장식","60","45","악세서리","45레벨 이상 착용 가능","","판매가능","파괴가능","습득 시 귀속됨","51","99","","악세서리","60","전체","전체","0","0","","45Ƽ"
"850023","210058","6","영예의 몰아치는 반지","60","45","악세서리","45레벨 이상 착용 가능","","판매가능","파괴가능","습득 시 귀속됨","1","33","36","악세서리","60","전체","전체","0","0","","45"
"850022","210057","6","영예의 몰아치는 목장식","60","45","악세서리","45레벨 이상 착용 가능","","판매가능","파괴가능","습득 시 귀속됨","2","9","57","악세서리","60","전체","전체","0","0","","45"
"850017","210056","6","영겁의 몰아치는 반지","60","45","악세서리","45레벨 이상 착용 가능","","판매가능","파괴가능","습득 시 귀속됨","1","33","36","악세서리","60","전체","전체","0","0","","45"
"850016","210055","6","영겁의 몰아치는 목걸이","60","45","악세서리","45레벨 이상 착용 가능","","판매가능","파괴가능","습득 시 귀속됨","2","9","57","악세서리","60","전체","전체","0","0","","45"
"850010","210053","6","맹세의 몰아치는 목장식","60","45","악세서리","45레벨 이상 착용 가능","","판매가능","파괴가능","습득 시 귀속됨","1","81","97","악세서리","60","전체","전체","0","0","","45"
"850019","210058","6","영예의 중심잡힌 반지","60","45","악세서리","45레벨 이상 착용 가능","","판매가능","파괴가능","습득 시 귀속됨","1","33","36","악세서리","60","전체","전체","0","0","","45"
"840113","210030","5","맹세의 신속한 반지","60","45","악세서리","45레벨 이상 착용 가능","","판매가능","파괴가능","습득 시 귀속됨","33","8","","악세서리","60","전체","전체","0","0","","45Ƽ"
"840112","210029","5","맹세의 신속한 목장식","60","45","악세서리","45레벨 이상 착용 가능","","판매가능","파괴가능","습득 시 귀속됨","51","99","","악세서리","60","전체","전체","0","0","","45Ƽ"
"840107","210044","5","폭풍의 신속한 반지","60","45","악세서리","45레벨 이상 착용 가능","","판매가능","파괴가능","습득 시 귀속됨","33","8","","악세서리","60","전체","전체","0","0","","45Ƽ"
"850021","210058","6","영예의 관통하는 반지","60","45","악세서리","45레벨 이상 착용 가능","","판매가능","파괴가능","습득 시 귀속됨","1","33","36","악세서리","60","전체","전체","0","0","","45"
"850020","210057","6","영예의 관통하는 목장식","60","45","악세서리","45레벨 이상 착용 가능","","판매가능","파괴가능","습득 시 귀속됨","2","9","57","악세서리","60","전체","전체","0","0","","45"
"840105","210044","5","폭풍의 예리한 반지","60","45","악세서리","45레벨 이상 착용 가능","","판매가능","파괴가능","습득 시 귀속됨","33","8","","악세서리","60","전체","전체","0","0","","45Ƽ"
"840110","210029","5","맹세의 예리한 목장식","60","45","악세서리","45레벨 이상 착용 가능","","판매가능","파괴가능","습득 시 귀속됨","51","99","","악세서리","60","전체","전체","0","0","","45Ƽ"
"840111","210030","5","맹세의 예리한 반지","60","45","악세서리","45레벨 이상 착용 가능","","판매가능","파괴가능","습득 시 귀속됨","33","8","","악세서리","60","전체","전체","0","0","","45Ƽ"
"840099","210050","5","모험가의 용맹한 반지","60","45","악세서리","45레벨 이상 착용 가능","","판매가능","파괴가능","착용 시 귀속됨","33","8","","악세서리","60","전체","전체","0","0","","45Ƽ"
"840098","210049","5","모험가의 용맹한 목걸이","60","45","악세서리","45레벨 이상 착용 가능","","판매가능","파괴가능","착용 시 귀속됨","51","99","","악세서리","60","전체","전체","0","0","","45Ƽ"
"850008","210053","6","맹세의 관통하는 목걸이","60","45","악세서리","45레벨 이상 착용 가능","","판매가능","파괴가능","습득 시 귀속됨","1","81","97","악세서리","60","전체","전체","0","0","","45"
"850009","210054","6","맹세의 관통하는 반지","60","45","악세서리","45레벨 이상 착용 가능","","판매가능","파괴가능","습득 시 귀속됨","1","15","80","악세서리","60","전체","전체","0","0","","45"
"850014","210055","6","영겁의 관통하는 목장식","60","45","악세서리","45레벨 이상 착용 가능","","판매가능","파괴가능","습득 시 귀속됨","2","9","57","악세서리","60","전체","전체","0","0","","45"
"850015","210056","6","영겁의 관통하는 반지","60","45","악세서리","45레벨 이상 착용 가능","","판매가능","파괴가능","습득 시 귀속됨","1","33","36","악세서리","60","전체","전체","0","0","","45"
"840106","210043","5","폭풍의 신속한 목걸이","60","45","악세서리","45레벨 이상 착용 가능","","판매가능","파괴가능","습득 시 귀속됨","51","99","","악세서리","60","전체","전체","0","0","","45Ƽ"
"840101","210050","5","모험가의 희생하는 반지","60","45","악세서리","45레벨 이상 착용 가능","","판매가능","파괴가능","착용 시 귀속됨","33","8","","악세서리","60","전체","전체","0","0","","45Ƽ"
"840103","210044","5","폭풍의 곧은 반지","60","45","악세서리","45레벨 이상 착용 가능","","판매가능","파괴가능","습득 시 귀속됨","33","8","","악세서리","60","전체","전체","0","0","","45Ƽ"
"850006","210053","6","맹세의 중심잡힌 목걸이","60","45","악세서리","45레벨 이상 착용 가능","","판매가능","파괴가능","습득 시 귀속됨","1","81","97","악세서리","60","전체","전체","0","0","","45"
"840109","210030","5","맹세의 곧은 반지","60","45","악세서리","45레벨 이상 착용 가능","","판매가능","파괴가능","습득 시 귀속됨","33","8","","악세서리","60","전체","전체","0","0","","45Ƽ"
"840108","210029","5","맹세의 곧은 목장식","60","45","악세서리","45레벨 이상 착용 가능","","판매가능","파괴가능","습득 시 귀속됨","51","99","","악세서리","60","전체","전체","0","0","","45Ƽ"
"840102","210043","5","폭풍의 곧은 목걸이","60","45","악세서리","45레벨 이상 착용 가능","","판매가능","파괴가능","습득 시 귀속됨","51","99","","악세서리","60","전체","전체","0","0","","45Ƽ"
"850011","210054","6","맹세의 몰아치는 반지","60","45","악세서리","45레벨 이상 착용 가능","","판매가능","파괴가능","습득 시 귀속됨","1","15","80","악세서리","60","전체","전체","0","0","","45"
"840096","210049","5","모험가의 정확한 목걸이","60","45","악세서리","45레벨 이상 착용 가능","","판매가능","파괴가능","착용 시 귀속됨","51","99","","악세서리","60","전체","전체","0","0","","45Ƽ"
"850007","210054","6","맹세의 중심잡힌 반지","60","45","악세서리","45레벨 이상 착용 가능","","판매가능","파괴가능","습득 시 귀속됨","1","15","80","악세서리","60","전체","전체","0","0","","45"
"840100","210049","5","모험가의 희생하는 목걸이","60","45","악세서리","45레벨 이상 착용 가능","","판매가능","파괴가능","착용 시 귀속됨","51","99","","악세서리","60","전체","전체","0","0","","45Ƽ"
"840097","210050","5","모험가의 정확한 반지","60","45","악세서리","45레벨 이상 착용 가능","","판매가능","파괴가능","착용 시 귀속됨","33","8","","악세서리","60","전체","전체","0","0","","45Ƽ"
"850018","210057","6","영예의 중심잡힌 목걸이","60","45","악세서리","45레벨 이상 착용 가능","","판매가능","파괴가능","습득 시 귀속됨","2","9","57","악세서리","60","전체","전체","0","0","","45"
"850013","210056","6","영겁의 중심잡힌 반지","60","45","악세서리","45레벨 이상 착용 가능","","판매가능","파괴가능","습득 시 귀속됨","1","33","36","악세서리","60","전체","전체","0","0","","45"
